Census ID,Centroid Longitude,Centroid Latitude,Traffic fatalities,Licensed drivers (thousands),Registered vehicles (thousands),Vehicle-miles traveled (millions),Miles traveled per vehicle,Fatalities per 100K licensed drivers,Fatalities per 100K registered vehicles,Fatalities per 100M vehicle-miles traveled,Fatalities involving high blood alcohol,Percent Alcohol-Related,Total Population,Urban Population,Rural Population,Pct Urban Population,Labels
56,-107.555625,43.032664,164,380.18,671.529,9261,13790.91595,43.1374612,24.42187903,1.770867077,54,32.92682927,493782,322073,171709,65.22574739,'Wyoming'
11,-77.026928,38.892064,43,349.122,240.403,3742,15565.52955,12.31661139,17.88663203,1.149118119,12,27.90697674,572059,572059,0,100,'District of Columbia'
50,-72.556496,44.043498,98,550.462,551.516,7855,14242.56051,17.80322711,17.76920343,1.247612985,20,20.40816327,608827,232550,376277,38.19640062,'Vermont'
2,-152.459342,64.609656,101,482.532,681.115,4990,7326.222444,20.9312543,14.82862659,2.024048096,30,29.7029703,626932,411955,214977,65.70967824,'Alaska'
38,-99.499793,47.469117,100,461.78,721.835,7594,10520.40979,21.65533371,13.8535815,1.316829076,35,35,642200,358394,283806,55.80722516,'North Dakota'
46,-99.67897,44.27203,197,563.298,882.769,8784,9950.508004,34.97260775,22.31614386,2.242714026,76,38.5786802,754844,391936,362908,51.9227814,'South Dakota'
10,-75.494156,39.107074,134,533.943,728.524,9301,12766.90953,25.09631178,18.39335423,1.440705301,48,35.82089552,783600,627045,156555,80.02105666,'Delaware'
30,-110.576261,46.867085,229,712.88,1056.668,11207,10605.98031,32.12321849,21.67189694,2.043365754,100,43.66812227,902195,487465,414730,54.03100217,'Montana'
44,-71.433651,41.588663,83,741.841,834.501,8473,10153.37309,11.18838134,9.946063576,0.979582202,41,49.39759036,1048319,953295,95024,90.93558354,'Rhode Island'
15,-154.525892,21.045779,142,843.876,970.518,9725,10020.42208,16.82711678,14.63136181,1.460154242,52,36.61971831,1211537,1109179,102358,91.55139298,'Hawaii'
33,-71.559103,43.90799,171,985.775,1244.631,13216,10618.40819,17.34675763,13.7390118,1.293886199,51,29.8245614,1235786,731352,504434,59.18112036,'New Hampshire'
23,-69.081113,44.885791,194,984.829,1106.776,14948,13505.8946,19.69885127,17.52838876,1.297832486,58,29.89690722,1274923,512592,762331,40.20572223,'Maine'
16,-114.619934,45.01049,260,942.983,1393.702,14729,10568.25634,27.57207712,18.655351,1.765225066,81,31.15384615,1293953,859104,434849,66.39375619,'Idaho'
31,-99.434739,41.504492,254,1315.819,1717.743,19171,11160.57524,19.30356683,14.7868453,1.324917845,78,30.70866142,1711263,1192706,518557,69.69741063,'Nebraska'
54,-80.274868,38.850586,411,1292.036,1415.954,20302,14338.03641,31.81025916,29.02636668,2.024431091,114,27.73722628,1808344,833378,974966,46.08514752,'West Virginia'
35,-106.175514,34.29149,521,1271.365,1579.258,23942,15160.28413,40.97957707,32.9901764,2.176092223,185,35.50863724,1819046,1364835,454211,75.03026312,'New Mexico'
32,-116.399879,39.17653,395,1548.097,1326.247,19354,14593.05846,25.51519705,29.78329074,2.040921773,133,33.67088608,1998257,1829781,168476,91.56885225,'Nevada'
49,-111.638517,39.414291,296,1582.599,2128.81,24696,11600.84742,18.70341129,13.90448185,1.198574668,70,23.64864865,2233169,1970935,262234,88.25731505,'Utah'
5,-91.886096,34.834952,704,1862.43,1961.171,31648,16137.29756,37.80007839,35.89692077,2.224469161,236,33.52272727,2673400,1401840,1271560,52.43659759,'Arkansas'
20,-98.210526,38.563167,461,1979.746,2408.2,29172,12113.61183,23.28581545,19.14292833,1.580282463,121,26.2472885,2688418,1920081,768337,71.42047851,'Kansas'
28,-90.057733,32.484248,900,1896.008,1991.65,39431,19798.15731,47.46815414,45.18866267,2.282468109,317,35.22222222,2844658,1388560,1456098,48.81289772,'Mississippi'
19,-93.762335,42.132789,390,2003.723,3509.431,31538,8986.641994,19.4637682,11.11291261,1.236603462,91,23.33333333,2926324,1786683,1139641,61.05554272,'Iowa'
9,-72.76272,41.510585,291,2694.574,3106.346,31608,10175.29921,10.79948073,9.367919736,0.920652999,112,38.48797251,3405565,2986850,418715,87.704977,'Connecticut'
41,-120.556309,44.163728,456,2625.856,3078.68,35598,11562.74767,17.36576568,14.81154261,1.280970841,159,34.86842105,3421399,2692680,728719,78.7011395,'Oregon'
40,-97.978271,35.422612,774,2369.621,3235.64,46443,14353.57456,32.66345124,23.92107898,1.666559008,245,31.65374677,3450654,2254566,1196088,65.33735344,'Oklahoma'
45,-81.245037,33.810122,1046,2972.369,3317.101,49551,14938.04379,35.19078553,31.53355897,2.110956388,413,39.48374761,4012012,2427021,1584991,60.49386193,'South Carolina'
21,-85.666739,37.567621,964,2823.454,3372.512,47322,14031.67728,34.14257856,28.58403469,2.037107476,269,27.90456432,4041769,2251967,1789802,55.71736039,'Kentucky'
8,-105.543955,39.029532,665,3205.054,2031.703,45891,22587.45496,20.74848037,32.73116199,1.449085877,225,33.83458647,4301261,3634746,666515,84.5041954,'Colorado'
1,-86.9206,32.282672,1154,3613.138,4588.837,59035,12864.91545,31.93899596,25.14798412,1.954772593,394,34.14211438,4447100,2465539,1981561,55.4415012,'Alabama'
22,-91.336153,30.714212,904,3169.627,3822.639,44607,11669.16363,28.52070606,23.64858413,2.026587755,345,38.16371681,4468976,3246994,1221982,72.65633111,'Louisiana'
27,-94.101406,46.776507,567,3083.007,4782.252,56570,11829.15497,18.39113567,11.85633881,1.002298038,170,29.98236332,4919479,3489319,1430160,70.92862882,'Minnesota'
4,-112.0705,34.345101,1150,3783.927,3985.162,57336,14387.36995,30.39170682,28.85704521,2.005720664,376,32.69565217,5130632,4523513,607119,88.16677945,'Arizona'
24,-77.02885,39.047751,643,3594.251,4192.508,55284,13186.37913,17.88967994,15.33688189,1.16308516,231,35.92534992,5296486,4558448,738038,86.06551589,'Maryland'
55,-89.749798,44.982996,792,3910.188,4937.877,60399,12231.77491,20.25478059,16.03928166,1.311279988,318,40.15151515,5363675,3665137,1698538,68.33257049,'Wisconsin'
29,-92.230655,38.311173,1130,4047.652,4889.615,68994,14110.31339,27.91741978,23.11020397,1.637823579,388,34.33628319,5595211,3881133,1714078,69.36526612,'Missouri'
47,-86.20886,35.896927,1288,4247.884,5143.321,70943,13793.22815,30.32097863,25.04218578,1.815542055,454,35.2484472,5689283,3618968,2070315,63.61026512,'Tennessee'
53,-121.422916,47.590362,563,4504.581,5695.463,55673,9774.973518,12.49838775,9.885061144,1.011262192,223,39.60923623,5894121,4832415,1061706,81.9870342,'Washington'
18,-86.577065,39.448159,947,4521.329,5678.318,72713,12805.37652,20.945169,16.67747386,1.302380592,254,26.82154171,6080485,4303180,1777305,70.77034151,'Indiana'
25,-71.14129,41.994891,476,4645.857,5593.154,54771,9792.507054,10.24568772,8.510403969,0.86907305,181,38.02521008,6349097,5803451,545646,91.40592749,'Massachusetts'
51,-78.949416,37.546013,925,5112.523,6572.883,78877,12000.36575,18.09282814,14.07297224,1.172711944,307,33.18918919,7078515,5166427,1912088,72.98744157,'Virginia'
37,-79.052731,35.627245,1557,6122.137,6298.836,95903,15225.51151,25.43229595,24.71885282,1.623515427,496,31.85613359,8049313,4847075,3202238,60.21725084,'North Carolina'
13,-83.086436,32.580268,1634,5793.143,8011.804,112620,14056.75925,28.20575981,20.39490731,1.450896821,450,27.53977968,8186453,5866567,2319886,71.66189069,'Georgia'
34,-74.716337,40.172888,731,5799.532,6374.167,72844,11428.00306,12.60446533,11.46816517,1.003514359,227,31.05335157,8414350,7938850,475500,94.34893961,'New Jersey'
26,-85.908551,45.199633,1159,7103.404,8627.477,103326,11976.38661,16.31612112,13.43382312,1.121692507,367,31.66522865,9938444,7419524,2518920,74.65478499,'Michigan'
39,-82.662996,40.217482,1286,7675.007,10934.942,111654,10210.75375,16.75568504,11.76046476,1.15177244,418,32.50388802,11353140,8780237,2572903,77.33752072,'Ohio'
42,-77.503957,40.937516,1490,8430.142,10113.463,108070,10685.7562,17.67467262,14.73283681,1.378736004,541,36.30872483,12281054,9461086,2819968,77.03806204,'Pennsylvania'
17,-89.198,39.742374,1356,8057.683,9507.663,109135,11478.63571,16.82865906,14.26217989,1.242497824,517,38.12684366,12419293,10910332,1508961,87.84986392,'Illinois'
12,-82.848294,28.391421,3244,13146.357,15519.408,196444,12657.95706,24.67603763,20.90285918,1.651361202,1053,32.45992602,15982378,14274392,1707986,89.31331746,'Florida'
36,-75.282885,42.53788,1493,11246.675,11268.933,137898,12237.00593,13.27503462,13.24881424,1.082684303,494,33.0877428,18976457,16601126,2375331,87.4827477,'New York'
48,-99.209698,30.515779,3583,14543.528,17193.706,231008,13435.61417,24.63638809,20.83902098,1.551028536,1417,39.54786492,20851820,17204073,3647747,82.50633758,'Texas'
6,-119.663274,36.822283,4120,22761.088,32026.125,328917,10270.27154,18.10106793,12.86449734,1.25259564,1367,33.17961165,33871648,31994895,1876753,94.45922147,'California'
